Sector,Sub-Sector,Technology,Euro No.,Pollutant,Alpha,Beta,Gamma,Delta,Epsilon,Zita,Ita,Thita,RF,Vmin,Vmax,Equation
Passenger Cars,Gasoline >2.0 l,PC Euro 6 - EC 715/2007,6,HC,-1.729820072537950E-12,7.445905821974820E-10,-9.589338491014850E-08,5.316698515760720E-06,-1.611156572727740E-04,8.981376543670680E-03,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,5,130,Equation 17
Passenger Cars,Gasoline <0.8 l,PC Euro 6 - EC 715/2007,6c,HC,4.439683116338480E-13,-1.804012993950410E-10,5.083156742432230E-08,-5.309604884967230E-06,1.907323983253740E-04,5.300471472494130E-03,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,5,130,Equation 17
Passenger Cars,Gasoline 0.8 - 1.4 l,PC Euro 6 - EC 715/2007,6c,HC,4.439683116338480E-13,-1.804012993950410E-10,5.083156742432230E-08,-5.309604884967230E-06,1.907323983253740E-04,5.300471472494130E-03,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,5,130,Equation 17
Passenger Cars,Gasoline 1.4 - 2.0 l,PC Euro 6 - EC 715/2007,6c,HC,4.439683116338480E-13,-1.804012993950410E-10,5.083156742432230E-08,-5.309604884967230E-06,1.907323983253740E-04,5.300471472494130E-03,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,5,130,Equation 17
Passenger Cars,Gasoline >2.0 l,PC Euro 6 - EC 715/2007,6c,HC,4.439683116338480E-13,-1.804012993950410E-10,5.083156742432230E-08,-5.309604884967230E-06,1.907323983253740E-04,5.300471472494130E-03,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,5,130,Equation 17
Passenger Cars,Diesel <1.4 l,PC Euro 5 - EC 715/2007,5,HC,1.041899411396600E+32,4.602210491011020E+33,1.532072439207090E+32,2.915400296621130E+32,-3.834517890089040E+28,1.963566191178650E+32,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,130,Equation 1
Passenger Cars,Diesel 1.4 - 2.0 l,PC Euro 5 - EC 715/2007,5,HC,1.041899411396600E+32,4.602210491011020E+33,1.532072439207090E+32,2.915400296621130E+32,-3.834517890089040E+28,1.963566191178650E+32,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,130,Equation 1
Passenger Cars,Diesel >2.0 l,PC Euro 5 - EC 715/2007,5,HC,1.041899411396600E+32,4.602210491011020E+33,1.532072439207090E+32,2.915400296621130E+32,-3.834517890089040E+28,1.963566191178650E+32,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,130,Equation 1
Passenger Cars,Diesel <1.4 l,PC Euro 6 - EC 715/2007,6,HC,5.720055515766620E-02,8.234676938530460E-02,3.369043658922980E-03,-4.739946775792280E-04,-2.114432805488740E-05,-9.556411562122110E-02,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,130,Equation 1
Passenger Cars,Diesel 1.4 - 2.0 l,PC Euro 6 - EC 715/2007,6,HC,5.720055515766620E-02,8.234676938530460E-02,3.369043658922980E-03,-4.739946775792280E-04,-2.114432805488740E-05,-9.556411562122110E-02,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,130,Equation 1
Passenger Cars,Diesel >2.0 l,PC Euro 6 - EC 715/2007,6,HC,5.720055515766620E-02,8.234676938530460E-02,3.369043658922980E-03,-4.739946775792280E-04,-2.114432805488740E-05,-9.556411562122110E-02,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,130,Equation 1
Passenger Cars,Diesel <1.4 l,PC Euro 6 - EC 715/2007,6c,HC,5.720055515766620E-02,8.234676938530460E-02,3.369043658922980E-03,-4.739946775792280E-04,-2.114432805488740E-05,-9.556411562122110E-02,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,130,Equation 1
Passenger Cars,Diesel 1.4 - 2.0 l,PC Euro 6 - EC 715/2007,6c,HC,5.720055515766620E-02,8.234676938530460E-02,3.369043658922980E-03,-4.739946775792280E-04,-2.114432805488740E-05,-9.556411562122110E-02,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,130,Equation 1
Passenger Cars,Diesel >2.0 l,PC Euro 6 - EC 715/2007,6c,HC,5.720055515766620E-02,8.234676938530460E-02,3.369043658922980E-03,-4.739946775792280E-04,-2.114432805488740E-05,-9.556411562122110E-02,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,130,Equation 1
